9789814307161	043506127	1.0	1.0	Quantum mechanics using computer algebra :	Quantum mechanics using computer algebra :	Steeb, Willi-Hans.	Steeb, Willi-Hans	9789814307161	9789810217709
9789814298308	9789814332460	1.0	1.0	Economic reforms and development in China.	Economic reforms and development in China.	Cheng, Siwei.	Cheng, Siwei.	9789814298308	9789814332460
9789814291774	EBL296152	1.0	1.0	The knowledge grid :	The Knowledge Grid	Zhuge, Hai.	Zhuge, Hai.	9789814291774	9789812701251|9789812561404
9789814291774	115298606	1.0	1.0	The knowledge grid :	The knowledge grid /	Zhuge, Hai.	Zhuge, Hai	9789814291774	9789812561404
9789814282628	EBL982498	1.0	1.0	Computational ecology :	Computational Ecology	Zhang, Wenjun.	Zhang, Wenjun.	9789814282628	9789814343619|9789814343626
9789814277488	EBL1193096	1.0	1.0	Tsunami :	Tsunami	Murata, Susumu.	Murata, Susumu.	9789814277488	9789814277471|9789814277495
9789812837936	357423127	1.0	1.0	A nonlinear dynamics perspective of Wolfram's new kind of science.	A nonlinear dynamics perspective of Wolfram's new kind of science	Chua, Leon O.,	Chua, Leon O.	9789812837936	9789812566423
9789812837721	111273145	1.0	1.0	The making of economics.	The making of economics /	Canterbery, E. Ray.	Canterbery, E. Ray	9789812837721	
9789812835598	EBL1193588	1.0	1.0	Chinese multinationals /	Chinese Multinationals	Larcon, Jean-Paul.	Larcon, Jean-Paul.	9789812835598	9789812835017|9789812835000
9789812835598	9789812835000	1.0	1.0	Chinese multinationals /	Chinese multinationals /	Larcon, Jean-Paul.	Larcon, Jean-Paul.	9789812835598	9789812835000
9789812835154	111273145	1.0	1.0	The making of economics.	The making of economics /	Canterbery, E. Ray.	Canterbery, E. Ray	9789812835154	
9789812810946	EBL1193402	1.0	1.0	Praise of chromosome folly :	Praise of Chromosome ""Folly""	Lima-de-Faria, Antonio.	Lima-de-Faria, Antonio.	9789812810946	9789812810953|9789812814791
9789812791634	9789812791641	1.0	1.0	Bringing science and mathematics to life for all learners /	Bringing science and mathematics to life for all learners /	Adams, Dennis M.	Adams, Dennis M.	9789812791634	9789812791641
9789812791030	9789812791023	1.0	1.0	Mathematical tools in computer graphics with C# implementations /	Mathematical tools in computer graphics with C# implementations /	Hardy, Alexandre.	Hardy, Alexandre.	9789812791030	9789812791023
